"",gene_symbol,GSM2114345,GSM2114346,GSM2114347,GSM2114348,GSM2114349,GSM2114350,GSM2114351,GSM2114352,GSM2114353,GSM2114354,GSM2114355,GSM2114356,GSM2114357,GSM2114358,GSM2114359,GSM2114360
ENSG00000000003,TSPAN6,16.285,33.6302,4.5579,2.8492,10.0485,10.4765,5.4898,5.7162,6.9392,13.0256,4.6785,10.8159,23.0896,30.3299,9.153,23.1622
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9808,0
ENSG00000000419,DPM1,654.1304,770.5166,366.7155,430.298,638.004,640.8031,395.7051,717.6113,509.5097,413.7824,428.9753,412.575,505.7881,432.7449,465.1991,452.0733
ENSG00000000457,SCYL3,1022.508,615.8814,746.7127,609.2884,870.3216,718.8203,623.9708,1086.4794,760.1482,761.1389,627.9101,624.7348,852.6545,504.2081,752.7913,608.11
ENSG00000000460,C1orf112,357.0987,255.4811,192.0623,159.7908,243.6204,215.4123,142.3046,168.5752,210.0506,253.4771,135.8258,183.9263,218.0514,82.529,238.7869,128.4823
ENSG00000000938,FGR,22713.9505,9565.4316,25618.2165,16951.7539,26297.7053,29478.695,20276.8768,34424.2408,20627.5149,13879.0023,15372.1337,23064.2539,22568.7632,13097.1205,14129.0888,15666.9881
ENSG00000000971,CFH,107.5877,71.3434,59.3408,15.8793,115.0793,200.6225,22.7666,64.8135,72.8504,195.4995,64.1401,43.8386,58.2537,33.1141,131.5653,84.0324
ENSG00000001036,FUCA2,478.0239,539.9277,420.5847,433.7722,815.5181,399.9617,400.6622,745.5869,474.7347,412.4242,372.4,367.4767,474.3484,303.5055,437.9913,345.5391
ENSG00000001084,GCLC,958.3607,1279.4431,298.9232,557.7177,816.6504,452.6037,322.5071,685.9988,583.4351,590.7788,435.289,431.8374,510.1584,211.8881,478.5912,501.1146
ENSG00000001167,NFYA,2130.7713,929.6966,1702.2488,1378.5774,2067.219,1573.8204,1551.0034,2367.1844,1635.5187,1506.1581,1549.5885,1229.5776,2003.7709,874.2424,1337.6331,1542.7155
ENSG00000001460,STPG1,127.5577,131.7561,126.6342,110.8174,100.265,96.5106,64.5655,103.1407,80.3908,92.5635,86.7435,117.4776,140.8783,43.4775,111.7477,76.9545
ENSG00000001461,NIPAL3,1119.4322,1303.7208,522.6436,744.1564,866.4125,560.195,431.6005,747.9635,700.1062,907.5581,549.6578,605.3272,864.2112,467.879,775.4144,552.895
ENSG00000001497,LAS1L,889.0586,1337.8617,351.0142,537.5303,837.1602,497.2525,359.7069,771.1535,542.7372,633.1889,515.0867,429.9144,675.6429,413.9457,698.5006,478.8319
ENSG00000001561,ENPP4,995.3954,860.9193,970.8436,316.4637,526.5756,811.1543,233.4062,994.6977,437.8331,428.429,347.8916,341.3402,374.3905,314.372,530.193,372.5359
ENSG00000001617,SEMA3F,5.9498,21.9107,7.0367,0.542,4.1013,2.1689,6.3805,0,1.0681,0,12.7217,0,6.0305,0,0.53,0.5405
ENSG00000001626,CFTR,15.3089,6.9639,4.8919,7.4533,10.1391,12.1616,17.0094,9.5381,10.8106,8.1248,7.2567,9.0296,11.2552,4.1762,4.6492,2.3214
ENSG00000001629,ANKIB1,1816.1287,2389.977,955.0314,1008.2645,1596.5377,831.6023,733.5302,1258.9357,1135.0136,1521.9733,1005.5922,798.0044,1296.8395,510.6617,1505.5875,867.4445
ENSG00000001630,CYP51A1,492.9099,784.5641,338.0519,196.479,273.5464,160.7237,115.6204,335.5165,257.6394,253.6177,353.8467,144.2122,308.3193,141.8452,237.2365,170.7706
ENSG00000001631,KRIT1,922.4834,1148.5536,384.1611,560.9634,781.0317,596.571,516.8046,630.3625,594.9648,552.3863,410.0995,563.6119,744.535,497.0369,839.1285,528.5514
ENSG00000002016,RAD52,298.2241,148.5902,125.4546,182.0795,300.8866,252.4553,153.3461,197.8729,282.3757,159.8178,71.3296,214.4898,277.4906,142.3106,319.7752,281.0241
ENSG00000002330,BAD,445.6918,281.5171,282.8878,227.5356,398.1163,363.787,191.0401,376.4006,318.0923,307.6638,196.5758,263.8367,363.3308,189.3751,164.012,190.8983
ENSG00000002549,LAP3,6765.3165,3953.8373,3202.3762,1556.6623,6311.8078,1359.6999,2557.84,6348.9621,2067.4904,5013.9699,1479.7842,2376.835,1840.0136,2277.3833,1864.6074,1712.0669
ENSG00000002586,CD99,4348.7465,4989.7021,1784.5251,1801.8956,3457.7776,2628.8024,1325.0574,3699.6126,2786.3735,2325.3244,1854.07,2322.8869,2929.9117,1232.0241,2012.3772,1733.1411
ENSG00000002587,HS3ST1,384.9999,19.6538,9.6305,218.2984,244.5402,8.2391,31.7753,18.4013,108.6121,17.5194,5.7675,12.0821,131.4549,28.7716,153.5963,36.853
ENSG00000002726,AOC1,27.9475,9.2786,437.8567,158.1055,179.6335,27.6544,42.2627,452.8593,11.7556,25.075,4.6012,32.354,25.3917,30.8671,56.6704,73.3457
ENSG00000002745,WNT16,84.1479,9.5095,13.5063,71.4404,47.7266,36.6672,37.378,5.9827,55.8726,36.8568,20.1934,10.4808,100.8005,61.5892,35.2353,45.781
ENSG00000002746,HECW1,33.8491,2.0183,26.3282,2.0551,5.5058,34.1305,1.3441,31.1749,1.3502,5.424,0,2.7961,0.6801,88.8719,1.3357,1.3892
ENSG00000002822,MAD1L1,1212.8952,1055.7696,279.4794,596.9888,843.6059,419.7409,566.9087,713.3771,701.5495,497.4887,344.2536,395.2519,651.3515,733.4407,463.298,321.6469
ENSG00000002834,LASP1,12895.428,5643.1214,14348.6938,8414.49,12517.6772,16059.0952,10908.9661,18107.27,12554.9739,9026.6461,8363.5433,14238.3619,16227.7281,8307.2165,8155.972,9272.0943
ENSG00000002919,SNX11,1389.2821,1029.2305,1891.911,1108.1434,1556.2693,1346.332,1301.1196,2211.3681,1551.3137,1105.2645,713.1015,1243.1319,1733.7828,849.9266,1115.2384,1179.2824
ENSG00000002933,TMEM176A,51.1268,19.7516,77.0214,413.3511,957.7783,276.4544,288.0401,423.6674,48.3232,54.1141,47.7156,55.6891,114.9377,128.219,705.6445,893.8537
ENSG00000003056,M6PR,4126.6755,4747.654,2220.3771,2850.9975,5363.6605,3935.1415,2296.2626,5038.8792,2916.4934,3212.3084,2240.7152,3283.7875,3705.3769,2549.359,3698.7757,2812.9991
ENSG00000003096,KLHL13,7.6628,11.3903,0,2.6033,18.2565,4.2717,2.8747,4.3278,6.423,8.9132,1.2566,4.9258,16.3915,22.9872,16.3074,10.7535
ENSG00000003137,CYP26B1,0,1.2041,6.8716,0,0,0,0,0.7318,0,0,0,0,0.7205,0.7437,0,0
ENSG00000003147,ICA1,313.0292,113.5554,384.0771,181.7414,160.8027,193.0265,69.6426,111.7065,114.1073,131.935,51.3334,120.115,93.4719,43.4945,72.7337,79.089
ENSG00000003249,DBNDD1,77.088,32.3106,8.7057,48.5896,39.0061,4.4913,7.3711,2.7758,34.6218,16.301,1.3364,7.3257,73.3595,43.8695,57.2362,55.0082
ENSG00000003393,ALS2,457.0078,511.9966,241.7806,248.8345,674.2938,269.4982,206.1141,461.7859,479.9439,338.6462,277.682,397.2786,410.2963,199.1694,474.3786,260.5993
ENSG00000003400,CASP10,2050.1744,2014.6035,1965.515,1284.4464,2175.0702,1452.5391,1269.6706,2277.673,1480.4335,1455.815,718.1184,1187.7817,1948.6824,717.2893,1222.5181,1131.3124
ENSG00000003402,CFLAR,24418.4822,13559.4872,23411.9375,16884.4726,24290.9453,29790.5462,24785.8823,29752.3624,24900.5481,21917.6356,15244.1356,21630.6253,29267.0434,11728.7147,16007.5711,16968.3117
ENSG00000003436,TFPI,800.2652,757.897,439.1907,344.8588,555.3027,385.3702,381.8198,458.0428,574.2495,647.2611,454.0802,358.7942,644.4806,216.172,416.5108,357.8844
ENSG00000003509,NDUFAF7,357.9481,514.2476,250.2821,238.9104,318.2037,331.1855,155.5596,394.2288,238.6406,236.2865,304.1367,212.4323,232.033,155.3353,320.6382,251.3936
ENSG00000003756,RBM5,7756.2124,6500.1643,4560.3484,4970.2476,7747.6932,5793.8779,4626.3744,6913.7697,5731.2393,5212.9032,3777.9981,4857.9322,7509.6747,3210.9541,5801.0119,4733.5313
ENSG00000003987,MTMR7,91.4329,67.3276,116.6148,58.2767,114.8505,69.4755,78.057,102.8783,50.4267,53.7617,75.2621,76.0976,104.998,115.1811,69.622,49.9699
ENSG00000003989,SLC7A2,0.9292,3.2515,2.8115,1.8983,0.9395,0.9396,0.922,0.951,0.9332,0,0.9143,0,0,0.9674,0.9225,1.8882
ENSG00000004059,ARF5,3623.7113,2140.412,2078.2697,2180.134,3410.3838,3294.6887,1990.3998,3985.8721,2415.4527,1890.1215,2007.9126,2746.8077,3580.6773,2022.8993,2123.0982,2047.4432
ENSG00000004139,SARM1,857.11,997.6742,294.8463,424.1174,677.6997,502.1352,231.9657,537.0967,547.9808,459.3263,283.2725,389.5332,701.3378,334.692,819.6128,432.3082
ENSG00000004142,POLDIP2,1187.9773,1554.5993,963.7537,992.2675,1273.8811,839.3489,714.4778,1372.594,904.8142,964.1402,777.7174,632.1944,1099.3081,656.642,802.1737,641.4556
ENSG00000004399,PLXND1,4242.3601,2689.2605,385.9002,1169.0091,2066.755,1069.2117,1156.9872,2593.1294,1396.9567,1132.0934,2537.9788,1660.9628,1579.0259,750.0374,1566.8304,1522.9516
ENSG00000004455,AK2,2532.1751,2714.6938,1893.8055,1762.2132,2836.6617,1851.5638,1276.6566,2513.5617,1860.9611,1759.7721,1212.3003,1444.7489,1840.1641,1185.6736,1708.6844,1266.6371
ENSG00000004468,CD38,2351.5558,5906.0844,1306.1736,1090.1911,1673.2181,791.3928,722.1557,1608.3043,897.1243,3885.4192,1714.6699,700.8453,859.6139,299.8639,677.9306,522.2451
ENSG00000004478,FKBP4,787.6551,717.6834,432.8287,460.2025,804.2251,467.3876,358.2449,737.6399,553.5896,477.8062,403.6965,556.4318,931.3351,459.5914,534.5811,525.5368
ENSG00000004487,KDM1A,1242.1872,1619.6767,455.4213,824.765,1187.5809,757.7455,511.426,900.7956,700.7726,866.3702,745.401,684.7772,1053.5678,632.6359,775.6202,792.4354
ENSG00000004534,RBM6,4446.4148,3192.9538,2220.3514,2642.0221,5318.5137,3614.0473,2222.5779,3536.8956,2788.4665,3037.3021,1785.8382,3756.7407,4295.9753,2244.3163,4507.2212,3384.8797
ENSG00000004660,CAMKK1,586.2656,319.8795,649.6662,533.3872,876.2755,670.3687,788.4956,492.7331,438.3473,340.2239,415.7074,651.1597,1249.1966,405.6641,449.0304,563.5179
ENSG00000004700,RECQL,1856.9164,1732.1958,658.214,981.2102,1482.337,1477.2272,819.9411,1722.1716,1408.6837,1198.8561,728.9245,1157.1256,1137.8391,775.4164,1418.7567,1121.2697
ENSG00000004766,VPS50,712.6264,527.5292,230.9377,411.9804,553.9272,363.2374,330.0307,516.208,446.0051,388.8893,308.8453,281.5167,519.626,316.9332,463.7841,414.1934
ENSG00000004776,HSPB6,4.0554,4.0827,10.6531,1.9941,0,1.0131,0,0.8501,2.5041,4.9585,4.3081,2.9854,12.3239,4.0817,2.048,0
ENSG00000004777,ARHGAP33,510.1157,462.966,841.1142,187.6745,408.5466,413.9066,137.9787,342.0231,424.3416,292.4529,299.7447,191.2151,409.2198,128.3105,304.6452,272.5973
ENSG00000004779,NDUFAB1,480.2399,651.1138,161.8,335.2744,437.7219,359.66,186.756,445.84,324.9339,370.6231,245.0038,233.8554,362.9027,249.888,277.7638,261.9451
ENSG00000004799,PDK4,71.4811,388.3765,19.8231,561.0485,1524.7845,147.5217,222.9683,593.4627,281.6498,125.5966,69.6528,144.7287,145.6342,217.8956,743.2492,284.4842
ENSG00000004809,SLC22A16,58.3787,49.0684,152.1642,46.1609,53.6095,114.3171,28.3313,60.6031,37.6031,36.7411,46.8234,37.9435,43.5613,37.9867,30.1652,42.8779
ENSG00000004838,ZMYND10,95.0274,27.4723,73.495,52.6583,95.5256,68.5427,51.6687,57.8505,49.1818,26.8559,40.833,100.7352,166.8756,67.8153,55.9578,49.5941
ENSG00000004846,ABCB5,8.6783,5.4153,2.7209,24.5239,4.0504,14.693,4.0297,14.6983,4.7857,7.7424,4.0744,8.266,16.3435,2.5602,6.8543,20.0323
ENSG00000004848,ARX,1.438,1.4329,0,0.7353,0,0,0,0.7351,0.7229,1.4343,0,0,0,64.0305,0.7222,0
ENSG00000004864,SLC25A13,244.7284,401.8899,255.9548,266.2606,380.0368,292.0203,301.6816,335.8829,161.6833,197.8227,282.3163,199.96,328.433,128.7052,306.8317,171.7093
ENSG00000004866,ST7,172.5337,287.8173,135.466,77.3484,177.4948,132.921,69.8245,136.8381,137.0173,167.4578,107.8633,107.6134,103.3292,84.6043,101.6506,85.6597
ENSG00000004897,CDC27,1835.2726,1327.9298,1064.6345,1094.8577,1346.7233,1083.7723,832.9232,1371.2853,1065.0641,1298.67,1178.0493,824.3528,1117.724,700.693,1156.1929,749.8541
ENSG00000004939,SLC4A1,8216.244,103.8729,2849.3351,4738.7047,1083.659,1022.1694,743.9701,1301.683,2375.1288,2428.2997,965.7742,734.181,6679.2088,1393.4604,328.5629,665.3081
ENSG00000004948,CALCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0062
ENSG00000004961,HCCS,336.7871,344.1662,170.2183,255.2939,374.7279,248.575,222.1602,365.1755,240.4976,226.1913,200.987,221.3241,342.395,182.2026,214.8959,210.0716
ENSG00000004975,DVL2,795.0857,634.2312,389.258,401.6224,715.4256,473.8088,479.1871,598.8796,427.9327,398.8494,275.4573,357.8882,602.3448,323.2516,507.0792,354.9807
ENSG00000005001,PRSS22,2.3418,2.4142,0,0.6762,0,0,1.5899,0,0,0,0,3.4426,14.4904,3.7049,0.6793,6.2153
ENSG00000005007,UPF1,5446.8595,4684.6944,3482.8364,3945.9116,5109.8551,3447.5028,4319.6719,4468.9905,3511.2533,3282.656,2164.7742,4318.8088,6854.2162,2547.4019,3532.3904,2959.4395
ENSG00000005020,SKAP2,3557.2738,1203.3349,4765.398,1935.3097,3948.7543,5558.7197,3633.9466,6339.7009,3427.2491,2921.3934,2975.1078,2724.637,4469.9666,1926.5222,2927.518,3489.1739
ENSG00000005022,SLC25A5,2270.0114,3649.8647,1333.2996,1763.6613,2419.2845,2319.0935,1359.1864,2305.3082,1398.7895,1619.6635,1792.2424,1514.7603,2713.1199,1428.5344,1664.1056,1437.261
ENSG00000005059,MCUB,1412.2971,1908.5415,317.3918,903.5815,1568.4993,695.8047,536.2839,946.4648,748.2907,820.1134,671.5578,763.7164,1382.4954,813.2624,896.7776,809.0556
ENSG00000005073,HOXA11,0,0,0,0,0,0,0,0,0,0,1.8788,0,0,1.0722,0,0
ENSG00000005075,POLR2J,1279.4895,765.8127,747.6871,771.6235,1252.4342,985.2549,683.6062,1383.108,975.3077,846.4409,640.8943,877.1492,1227.5301,542.2645,504.4132,563.6615
ENSG00000005100,DHX33,578.5944,557.5855,408.7719,398.4487,508.3553,362.6198,308.7529,499.1984,356.4414,338.8662,265.0868,257.597,542.7225,259.1679,489.831,307.7225
ENSG00000005102,MEOX1,39.5719,11.5863,38.0902,23.9166,69.1936,14.2831,11.7082,21.5193,38.3639,65.2841,9.0815,20.1469,28.7408,28.5833,38.1642,24.4535
ENSG00000005108,THSD7A,0,13.9705,17.1548,0.6161,32.434,1.8283,0.6037,16.9923,4.1791,4.1394,0.5933,4.2507,4.1868,4.3113,35.6856,0.6125
ENSG00000005156,LIG3,1026.7692,1246.3712,687.3238,677.7383,874.4614,765.4828,581.89,783.3047,804.0777,720.8483,448.613,745.7181,1116.8243,298.7431,660.201,664.1683
ENSG00000005175,RPAP3,1068.4034,677.9579,538.2414,585.9271,926.9939,817.5866,697.3016,1136.9204,721.6636,770.3839,492.6817,872.8078,796.2718,783.1674,858.8227,1014.1456
ENSG00000005187,ACSM3,291.7111,234.2829,203.4711,151.546,297.1814,214.2049,145.8882,188.9531,171.4562,151.5783,154.5836,173.6567,269.7966,184.1263,166.3474,163.4739
ENSG00000005189,LOC81691,43.4187,58.0666,97.2906,29.8861,31.6264,38.3118,22.102,26.0464,26.0328,30.3717,34.9713,26.1076,53.8121,17.162,42.7007,27.3484
ENSG00000005194,CIAPIN1,721.1389,1258.9682,321.6417,604.3849,625.0422,398.0903,284.4801,589.4817,472.7417,523.3739,362.8955,350.7109,582.4289,350.8145,484.642,368.6038
ENSG00000005206,SPPL2B,2564.1133,2489.3304,862.3411,1841.0857,2039.1287,1147.2134,987.7506,978.4412,1447.1614,1144.7609,678.6938,987.4843,2246.1665,885.4019,1759.4589,1082.3861
ENSG00000005238,FAM214B,3023.0701,748.6836,2817.8829,1913.5723,3317.847,3847.6875,3243.578,3357.3478,2613.6512,2088.4527,1883.6861,3496.0649,3956.5215,1990.5164,1981.1405,1839.1319
ENSG00000005243,COPZ2,22.191,51.9138,25.3712,10.9495,17.0219,9.4697,10.3728,25.7659,16.4832,13.9219,7.7611,19.2767,41.5894,14.1777,18.2816,20.6617
ENSG00000005249,PRKAR2B,2001.2302,2678.4556,773.4655,1113.9757,2646.4837,821.1973,450.3535,877.6571,948.883,883.9291,395.3567,2385.1534,1634.3054,873.2117,669.6186,1374.881
ENSG00000005302,MSL3,4376.4631,3016.1515,2899.3272,2477.9544,3357.9476,5167.3416,3388.2984,3739.0459,3303.0391,3239.2312,2670.6685,3154.0405,3692.8264,2307.5387,3119.9174,2631.9782
ENSG00000005339,CREBBP,11383.9607,7782.7864,9359.4394,7159.7718,11208.7638,7962.0004,10612.1308,10635.4654,9145.0231,11683.0481,8033.4308,8716.674,17003.4189,3329.0091,7172.6066,8221.5284
ENSG00000005379,TSPOAP1,2836.6795,1561.3578,5904.0457,410.8511,1217.7053,1476.5608,2582.8086,1872.6245,946.859,1109.2472,2673.0887,1078.1935,6084.0178,1112.9405,1253.9452,1176.8001
ENSG00000005381,MPO,1230.7083,1723.3206,21624.974,1266.4527,249.5133,6676.6736,316.4217,3063.4568,2803.9731,190.6136,185.5095,274.7182,755.7497,46.546,100.6171,255.2668
ENSG00000005421,PON1,1.3188,1.0623,0,0,0,3.1957,0,0,1.3309,0.9737,0.4832,0,1.3313,0,0,3.1605
ENSG00000005436,GCFC2,423.4239,511.5157,137.1391,266.3562,273.5932,242.636,127.4032,328.8974,261.1742,284.5701,157.8726,217.9913,364.2536,241.4276,286.4215,259.218
ENSG00000005448,WDR54,343.8037,362.2638,100.5064,187.7779,193.3719,175.7173,89.3874,224.843,167.1694,145.589,158.5891,139.4849,202.4945,129.5365,180.005,156.2431
ENSG00000005469,CROT,348.2857,320.7793,100.064,160.9502,227.3781,198.2008,124.172,365.2779,196.7387,266.4537,142.3034,174.9685,263.5409,137.8136,300.0691,148.2179
ENSG00000005471,ABCB4,109.3047,51.7091,20.6503,143.135,124.2158,24.3008,63.4554,2.8696,53.6772,32.5268,9.466,36.8764,132.8386,51.9951,116.2732,103.284
ENSG00000005483,KMT2E,7526.8144,6371.9054,4318.064,4283.328,6352.2754,4962.425,5428.7515,7317.6206,6065.4898,5461.4391,4931.206,4458.4485,7073.6498,2776.1221,5375.2311,4341.4819
ENSG00000005486,RHBDD2,1258.3018,1545.2013,622.294,916.2934,960.062,900.9122,717.4084,1091.0779,912.518,757.5986,854.4461,645.1048,1020.2587,648.0669,712.2026,741.5983
ENSG00000005513,SOX8,13.2717,94.7392,8.9503,16.9761,11.2104,15.7515,5.5329,5.6825,31.4203,11.061,8.7337,14.9649,38.3726,20.7737,12.1827,13.5468
ENSG00000005700,IBTK,744.3944,996.6773,328.0786,443.18,670.476,387.0935,312.5883,542.7967,383.9687,511.9493,438.2122,314.7341,549.3866,354.2151,497.4552,365.35
ENSG00000005801,ZNF195,576.6481,732.4255,220.6812,425.6019,539.5366,455.0486,199.6674,488.9992,349.7977,421.7522,377.5049,420.5238,374.1613,233.7216,479.6937,264.8127
ENSG00000005810,MYCBP2,6851.1195,7951.2935,4332.3751,4319.9822,6555.0976,3554.1587,3764.8747,6913.1152,4790.1295,4657.0882,3440.163,3985.9374,5626.097,3387.8811,4937.9451,4251.1142
ENSG00000005812,FBXL3,2270.0098,2497.6654,1630.408,1609.542,2083.5955,2002.75,1748.5647,2321.1963,1989.0816,1463.0383,1309.2919,1575.8552,2377.4612,1535.1733,1398.9625,1435.5891
ENSG00000005844,ITGAL,21832.5398,13384.4089,8737.4559,9046.035,20684.2952,15965.9469,8570.0776,25600.8738,13933.1833,15585.8646,11505.6489,14024.3452,16773.6047,8918.0064,15479.087,11281.6009
ENSG00000005882,PDK2,489.9742,468.7269,149.7243,245.9969,379.2967,231.7244,240.2762,314.0189,307.9066,306.3656,189.2758,261.6137,459.334,264.058,262.7051,269.5515
ENSG00000005884,ITGA3,111.9436,198.2217,119.4514,90.3184,154.0627,92.3998,81.4902,97.5566,100.8881,212.156,66.2527,135.5682,117.0583,84.1631,115.8894,105.3014
ENSG00000005889,ZFX,2503.1694,3038.8824,1339.5598,1425.2244,2103.0569,1869.4901,1463.9942,1999.1671,1719.5128,1708.161,1436.3723,1346.3201,2186.9663,930.1137,2006.5496,1552.192
ENSG00000005893,LAMP2,5355.9596,2364.6593,6756.4348,4956.3555,7478.0805,7737.1597,7547.4242,9922.8913,5777.3079,4544.008,5082.5649,6635.3768,7656.8858,4812.2614,4933.6113,5525.8045
ENSG00000005961,ITGA2B,5994.2058,5780.938,7636.2467,1555.2749,4768.2772,1368.9077,560.8038,1459.0886,1608.7208,1333.4274,364.6889,4984.7375,2093.1154,1117.7684,685.9228,1636.8307
ENSG00000005981,ASB4,73.4727,51.7999,69.4505,50.4921,52.6158,51.4689,111.9123,83.9968,58.7411,77.3574,58.6112,55.3443,104.8647,26.1182,32.4185,32.5472
ENSG00000006007,GDE1,1510.6975,1083.3726,1241.8775,1827.7076,1661.1548,1948.7863,1492.1021,1896.9893,1327.3749,1162.899,1278.6247,1271.769,1847.8804,1043.4143,1168.8223,1081.3922
ENSG00000006015,C19orf60,1337.3508,939.6105,236.1116,523.8887,1123.4208,520.1282,387.061,512.4919,595.2231,562.8009,332.3751,432.414,1256.9107,396.8142,502.5255,394.0739
ENSG00000006016,CRLF1,178.9183,137.334,120.4555,57.7275,130.8838,94.7514,117.9985,101.6364,64.611,79.2733,71.2284,80.2515,282.441,74.0406,59.8721,77.4797
ENSG00000006025,OSBPL7,2250.7226,2234.7813,364.7261,537.1204,880.1502,637.2495,415.7564,900.6741,621.0232,742.3047,917.4279,632.0913,779.2309,363.0866,972.5104,636.1406
ENSG00000006042,TMEM98,16.8112,15.7625,20.0488,9.8672,2.9281,13.9197,6.653,4.3261,7.5996,19.6081,3.2833,14.9578,1.8425,3.3231,1.8338,5.8417
ENSG00000006047,YBX2,3.0259,3.9621,2.3326,0,6.5552,1.5596,9.3325,0,4.377,6.8437,1.4883,2.1956,5.0793,0,4.0254,1.5521
ENSG00000006059,KRT33A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006062,MAP3K14,1920.3273,992.8631,610.6251,1188.5345,1936.6076,1190.1096,1099.5636,1423.0875,1059.9218,1148.2869,928.4493,1106.9766,2274.5117,883.9698,1288.5682,1113.7802
ENSG00000006071,ABCC8,0,2.2962,0,0,1.5557,0,1.5032,0,0,0,0,0,0.4277,0,0,0
ENSG00000006116,CACNG3,2.991,10.942,5.3931,2.1411,5.1986,4.0598,4.9361,6.0841,4.0859,1.9948,3.9237,3.4815,10.1317,2.1353,0.9978,4.1315
ENSG00000006118,TMEM132A,153.9666,48.4159,248.3495,80.1206,116.2706,72.3417,227.8046,54.1251,56.2709,52.4963,284.5364,75.1957,531.2539,96.2556,45.291,71.5322
ENSG00000006125,AP2B1,4603.0527,4050.2454,3299.6963,2572.9154,3658.8482,3268.8175,2371.0699,4284.0408,2895.1446,3012.6988,2865.733,2670.1042,3868.6493,2050.1575,2886.9235,3254.987
ENSG00000006128,TAC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9808,0
ENSG00000006194,ZNF263,1298.7103,1044.5734,739.8451,755.9671,870.0639,660.8871,541.4828,856.1034,656.7966,689.3673,622.988,560.4871,1432.1467,739.8585,711.3896,718.7735
ENSG00000006210,CX3CL1,12.3129,10.9944,8.5938,4.3797,11.995,3.9864,8.2894,10.2558,8.0025,3.0706,9.4143,7.8612,16.0103,6.9053,7.6763,6.1792
ENSG00000006282,SPATA20,575.0547,1391.3867,403.7475,461.3354,1000.582,142.115,446.088,620.7905,364.5233,428.7075,628.0699,503.8537,821.011,431.3133,484.3623,466.3996
ENSG00000006283,CACNA1G,5.5699,2.4067,4.934,6.8972,4.8065,3.4401,7.7422,3.6816,1.9588,8.7405,8.9026,5.5948,12.5494,0,4.1918,3.3453
ENSG00000006327,TNFRSF12A,102.0166,55.7145,83.0882,82.9922,181.0713,130.2927,135.1455,87.5275,83.0386,114.2889,73.9029,100.946,126.2502,67.6856,57.1722,67.5487
ENSG00000006377,DLX6,64.3215,6.8994,62.8495,24.2039,29.9887,42.8577,63.3452,66.9278,38.8205,29.5984,36.9976,72.0016,110.7643,17.4882,46.5658,31.2352
ENSG00000006432,MAP3K9,256.3611,298.3437,87.5365,200.1264,196.8938,117.1037,107.0859,73.7824,137.9859,106.1002,115.1639,70.6886,296.8844,96.7362,193.6033,172.4943
ENSG00000006451,RALA,707.8394,997.527,438.9159,474.1768,596.0651,454.6215,264.9277,640.7459,559.951,596.1463,355.6495,425.9243,603.4773,373.0497,414.7193,294.3208
ENSG00000006453,BAIAP2L1,199.4291,71.2152,234.9004,66.9605,101.3093,159.2124,198.1271,115.4929,99.14,151.2832,186.675,123.9604,210.7106,55.2909,70.2939,89.1587
ENSG00000006459,KDM7A,6507.2384,4001.3634,6100.1379,3801.2754,6241.0989,4415.6352,5844.6533,5581.3024,4532.6307,4516.6792,4421.4226,3763.5401,6235.6223,2370.6055,4261.2714,3045.8454
ENSG00000006468,ETV1,2.5657,7.9674,15.1866,3.7773,3.4586,3.8852,3.5825,1.218,6.9686,0.3505,2.0558,0,3.0059,3.7937,3.4572,4.284
ENSG00000006530,AGK,822.9853,1259.3408,252.4162,340.9046,482.6029,534.0117,351.6638,554.7775,349.9207,685.2152,503.402,216.3298,354.7718,215.1421,477.451,296.3027
ENSG00000006534,ALDH3B1,1649.9352,1005.5796,2473.7735,894.1768,2536.7125,1521.2623,1560.3531,2325.2979,1342.4056,997.8963,650.4842,1129.5463,1657.0718,957.3111,954.0848,841.8861
ENSG00000006555,TTC22,431.3043,387.8355,118.553,121.513,214.2011,265.3944,117.5464,304.2593,218.3618,199.1988,154.3841,174.0299,324.9402,123.1865,219.2568,169.2634
ENSG00000006576,PHTF2,946.3119,1578.6887,572.7851,672.3366,1169.7918,564.7778,694.4323,747.5543,731.6492,706.0032,620.9977,518.3009,859.8611,466.4433,1040.4925,692.3834
ENSG00000006606,CCL26,0.9959,0.9842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006607,FARP2,622.7809,567.4758,279.3156,286.9995,536.1883,265.0273,295.6057,346.3214,253.2278,301.0801,448.9762,298.0554,670.4633,238.8242,525.6651,241.8536
ENSG00000006611,USH1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006625,GGCT,213.3354,264.2456,151.7121,199.5625,232.5153,211.5253,113.8263,219.7878,186.3133,192.6136,95.9779,148.556,209.8414,134.7139,114.6619,166.9224
ENSG00000006634,DBF4,340.1475,907.3778,241.8653,226.1715,296.825,271.5577,152.288,225.9778,156.132,287.1913,243.2364,224.5495,254.0259,149.0239,273.2051,133.7854
ENSG00000006638,TBXA2R,138.179,125.6575,67.0206,116.7948,101.2025,44.3588,39.9849,43.5294,65.0556,48.4033,31.3057,53.2388,89.7264,42.721,67.4431,70.1987
